2023-07-25 23:05:10.042 [DEBU] {70dfa238a1247517521f7901dba41cd6} [ 36 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:12:16.636 [DEBU] {d017ca8d04257517c4b81f26068db7c8} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:17.765 [DEBU] {c8f7f9d004257517c6b81f26598cdea7} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:17.769 [DEBU] {a8db44d104257517c7b81f26717cd5e2} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:17.770 [DEBU] {58ff5cd104257517c8b81f26ba1e22cb} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:12:17.771 [DEBU] {70896fd104257517c9b81f2660577c92} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:36.032 [DEBU] {90e5a4110925751709427a01e803edf7} [  4 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:12:36.035 [DEBU] {70abf411092575170a427a01441c7518} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:36.039 [DEBU] {10413212092575170b427a0116153d3c} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:36.043 [DEBU] {481e5912092575170c427a01c6b4d6cb} [  3 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:12:36.045 [DEBU] {185f8e12092575170d427a01aba36c87} [  2 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:12:36.048 [DEBU] {e8b2ab12092575170e427a01302950ac} [  3 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:12:36.049 [DEBU] {6848dc12092575170f427a0195b8bce5} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:38.217 [DEBU] {088410940925751711427a01a35fc668} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:38.218 [DEBU] {f01523940925751712427a01e8d0011e} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:38.218 [DEBU] {e0232f940925751713427a01d1289fa5} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:12:38.219 [DEBU] {50ff38940925751714427a0123fb132d} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:41.756 [DEBU] {c01efe660a25751716427a0124097bee} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:41.757 [DEBU] {506518670a25751717427a014aa1dc55} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:41.758 [DEBU] {88b42c670a25751718427a01ef3a5fe8} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:12:41.759 [DEBU] {98043b670a25751719427a01888b85d5} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:42.510 [DEBU] {a89fea930a2575171b427a012b9d2080} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:42.511 [DEBU] {c06408940a2575171c427a01175c0351} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:42.513 [DEBU] {20d71c940a2575171d427a01c3f7f59e} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:12:42.514 [DEBU] {103830940a2575171e427a013b5cbe46} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:47.747 [DEBU] {18b517cc0b25751720427a0153fbddfc} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:47.751 [DEBU] {d88059cc0b25751721427a01e8631edd} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:47.752 [DEBU] {d8e472cc0b25751722427a01bedc2541} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:12:47.753 [DEBU] {687f7fcc0b25751723427a0155286a81} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:13:30.607 [DEBU] {00fbbcc61525751725427a0189388ca6} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:13:30.608 [DEBU] {080addc61525751726427a01ddbcac1b} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:13:30.609 [DEBU] {50b0e9c61525751727427a018e1e2941} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:13:30.610 [DEBU] {480af7c61525751728427a01f1989563} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:13:31.465 [DEBU] {1858ddf9152575172a427a01781f207c} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:13:31.466 [DEBU] {f092f7f9152575172b427a010c80821f} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:13:31.467 [DEBU] {605006fa152575172c427a01f2bce812} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:13:31.467 [DEBU] {900611fa152575172d427a01d39493f7} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:13:32.290 [DEBU] {00220e2b162575172f427a01d8b4d13d} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:13:32.290 [DEBU] {8071202b1625751730427a015e0e3cfd} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:13:32.291 [DEBU] {707f2c2b1625751731427a01e5aabac9} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:13:32.292 [DEBU] {001a392b1625751732427a01c37ac3bc} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:13:33.072 [DEBU] {48aeab591625751734427a0163f196bb} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:13:33.074 [DEBU] {c0cecc591625751735427a019c4b9eeb} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:13:33.075 [DEBU] {3056e4591625751736427a0124ffc2b4} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:13:33.076 [DEBU] {58a8f1591625751737427a0148db9be6} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:13:41.805 [DEBU] {78232e62182575173a427a01fc088930} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:13:41.806 [DEBU] {d84d4e62182575173b427a013ea6c3b4} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:13:41.808 [DEBU] {886b6762182575173c427a01034e4d22} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:13:41.809 [DEBU] {30497d62182575173d427a017431f8b5} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:13:55.925 [DEBU] {88b1d4ab1b2575173f427a01ee40bf15} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:13:55.927 [DEBU] {f0bcf2ab1b25751740427a01bfdf2579} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:13:55.929 [DEBU] {48420bac1b25751741427a0172317428} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:13:55.929 [DEBU] {e0871eac1b25751742427a0142552f6c} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:14:26.644 [DEBU] {0803cbd22225751745427a017d799e01} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:14:26.645 [DEBU] {706deed22225751746427a01b43762f6} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:14:26.647 [DEBU] {f045ffd22225751747427a01f5db4548} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:14:26.648 [DEBU] {288f14d32225751748427a015252bec5} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:25:00.841 [DEBU] {f803b67bb625751703dc4612c641c77a} [  4 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:25:00.843 [DEBU] {98a4067cb625751704dc4612e70fbaa2} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:25:00.844 [DEBU] {f0a61f7cb625751705dc46124658f741} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:25:00.849 [DEBU] {68b02f7cb625751706dc46124e30dbbc} [  4 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:25:00.850 [DEBU] {28ed737cb625751707dc46125bcf1bdc} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:25:00.855 [DEBU] {901c8c7cb625751708dc461263b44127} [  4 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:25:00.855 [DEBU] {507dca7cb625751709dc46126a5df3ce} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:26:36.054 [DEBU] {70c8dda6cc257517103a2d32f3d074ef} [  4 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:26:36.056 [DEBU] {409126a7cc257517113a2d3245e9fa00} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:26:36.058 [DEBU] {e0ce48a7cc257517123a2d32fa9b4a7e} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:26:36.062 [DEBU] {002e5ba7cc257517133a2d32a925b8fb} [  4 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:26:36.063 [DEBU] {809393a7cc257517143a2d3222d51974} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:26:36.067 [DEBU] {00d1a8a7cc257517153a2d3209b3d701} [  4 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:26:36.068 [DEBU] {70dfe8a7cc257517163a2d32b01c719a} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
